Deal ID,Stage,Lead Source,Created Time
zcrm_5071505000005727001,Process Lost,Linkedin Aitosha,2022-05-23 18:04:11
zcrm_5071505000005768080,Process Lost,Linkedin Kristina,2022-05-24 13:16:26
zcrm_5071505000005768138,Process Lost,Linkedin Kristina,2022-05-24 13:21:35
zcrm_5071505000005840012,Closure Process,landing,2022-05-25 11:07:02
zcrm_5071505000005921044,Process Lost,friends of friends,2022-05-26 15:41:58
zcrm_5071505000005921094,Process Lost,Linkedin Kristina,2022-05-26 15:47:38
zcrm_5071505000006001391,Closure Process,deal from an existing client,2022-05-27 03:23:13
zcrm_5071505000006048011,Process Lost,Linkedin Kristina Drozd,2022-05-27 15:18:23
zcrm_5071505000006300248,Process Lost,Linkedin Aitosha,2022-06-03 09:41:35
zcrm_5071505000006300322,Closure Process,deal from an existing client,2022-06-03 09:46:50
zcrm_5071505000006519036,Proposal Made,referral from our client,2022-06-07 15:13:24
zcrm_5071505000006551739,Process Lost,deal from an existing client,2022-06-07 12:01:49
zcrm_5071505000006577064,Process Lost,Linkedin Kristina Drozd,2022-06-08 08:27:59
zcrm_5071505000006602038,Process Lost,Linkedin Aitosha,2022-06-08 15:38:59
zcrm_5071505000006708004,Process Lost,landing,2022-06-09 16:47:34
zcrm_5071505000006917001,Closure Process,deal from an existing client,2022-06-15 12:59:20
zcrm_5071505000006917062,Process Lost,Linkedin Aitosha,2022-06-16 08:22:48
zcrm_5071505000006917099,Process Lost,Linkedin Aitosha,2022-06-16 08:27:14
zcrm_5071505000007046145,Closure Process,deal from an existing client,2022-06-21 10:32:40
zcrm_5071505000007093004,Process Lost,Linkedin Kristina,2022-06-21 13:28:55
zcrm_5071505000007274001,Process Lost,referral from our client,2022-06-23 12:04:39
zcrm_5071505000007345044,Process Lost,Linkedin Aitosha,2022-06-24 14:44:06
zcrm_5071505000007411004,Process Lost,landing,2022-06-27 08:10:09
zcrm_5071505000007443004,Process Lost,landing,2022-06-27 17:44:15
zcrm_5071505000007743001,Closure Process,referral from our client,2022-07-01 14:49:27
zcrm_5071505000007809035,Process Lost,Linkedin Aitosha,2022-07-04 15:12:17
zcrm_5071505000007957140,Process Lost,Linkedin Aitosha,2022-07-05 13:36:10
zcrm_5071505000008033031,Process Lost,Linkedin Dasha,2022-07-06 09:21:08
zcrm_5071505000008114012,Process Lost,Linkedin Dasha,2022-07-07 11:33:45
zcrm_5071505000008199029,Process Lost,Linkedin Dasha,2022-07-08 08:51:23
zcrm_5071505000008308039,Process Lost,outreach to open vacancies of existing clients,2022-07-11 12:18:08
zcrm_5071505000008314120,Job Intake Call,Linkedin Aitosha,2022-07-11 13:14:52
zcrm_5071505000008314215,Proposal Made,Linkedin Dasha,2022-07-11 13:29:31
zcrm_5071505000008314259,Follow-up Job,landing,2022-07-11 15:41:58
zcrm_5071505000008314302,Closure Process,referral from our client,2022-07-11 17:13:26
zcrm_5071505000008385001,Closure Process,outreach to open vacancies of existing clients,2022-07-12 10:13:09
zcrm_5071505000008385074,Closure Process,deal from an existing client,2022-07-12 13:36:54
zcrm_5071505000008385098,Process Lost,Linkedin Kristina,2022-07-12 13:39:17
zcrm_5071505000008385148,Process Lost,old client’s comeback,2022-07-12 13:44:04
zcrm_5071505000008472004,Process Lost,Linkedin Dasha,2022-07-13 11:05:12
zcrm_5071505000008472049,Closure Process,deal from an existing client,2022-07-13 11:07:11
zcrm_5071505000008542001,Closure Process,Linkedin Kristina,2022-07-14 07:38:44
zcrm_5071505000008542009,Closure Process,Linkedin Kristina,2022-07-14 07:39:50
zcrm_5071505000008553007,Process Lost,Linkedin Dasha,2022-07-14 10:21:55
zcrm_5071505000008605034,Follow-up Job,Linkedin Dasha,2022-07-15 09:38:55
zcrm_5071505000008676007,Process Lost,Linkedin Dasha,2022-07-15 16:48:02
zcrm_5071505000008824012,Process Lost,Linkedin Aitosha,2022-07-19 10:29:05
zcrm_5071505000008824055,Process Lost,Linkedin Aitosha,2022-07-19 10:30:37
zcrm_5071505000008824100,Process Lost,Linkedin Dasha,2022-07-19 10:31:55
zcrm_5071505000008824147,Process Lost,Linkedin Kristina,2022-07-19 11:47:40
zcrm_5071505000008824182,Process Lost,Linkedin Dasha,2022-07-19 11:49:01
zcrm_5071505000008905217,Process Lost,Linkedin Dasha,2022-07-20 14:02:21
zcrm_5071505000008993018,Process Lost,landing,2022-07-21 10:28:11
zcrm_5071505000009088099,Process Lost,Linkedin Kristina,2022-07-22 11:29:29
zcrm_5071505000009156075,Process Lost,Linkedin Kristina,2022-07-25 14:00:53
